accident_index,accident_severity
201501BS70611,3
201501BS70613,2
201501BS70614,2
201501BS70615,3
201501BS70616,3
201501BS70619,3
201501BS70620,3
201501BS70621,3
201501BS70622,3
201501BS70623,3
201501BS70624,3
201501BS70625,3
201501BS70627,3
201501BS70628,2
201501BS70629,3
201501BS70630,3
201501BS70631,3
201501BS70632,3
201501BS70633,2
201501BS70634,3
201501BS70635,3
201501BS70636,3
201501BS70637,3
201501BS70639,3
201501BS70640,3
201501BS70641,3
201501BS70643,3
201501BS70645,3
201501BS70647,3
201501BS70648,3
201501BS70650,3
201501BS70651,3
201501BS70652,3
201501BS70653,3
201501BS70654,3
201501BS70657,3
201501BS70658,3
201501BS70659,3
201501BS70662,3
201501BS70664,3
201501BS70665,3
201501BS70667,3
201501BS70668,3
201501BS70669,3
201501BS70670,3
201501BS70671,3
201501BS70673,3
201501BS70674,3
201501BS70675,3
201501BS70677,3
201501BS70678,3
201501BS70679,3
201501BS70680,3
201501BS70681,3
201501BS70683,3
201501BS70684,3
201501BS70685,3
201501BS70686,3
201501BS70687,3
201501BS70688,3
201501BS70689,3
201501BS70690,3
201501BS70692,3
201501BS70694,3
201501BS70695,3
201501BS70696,3
201501BS70697,3
201501BS70699,3
201501BS70700,3
201501BS70701,3
201501BS70702,3
201501BS70703,3
201501BS70705,3
201501BS70706,3
201501BS70708,3
201501BS70710,3
201501BS70711,3
201501BS70713,2
201501BS70714,3
201501BS70715,3
201501BS70716,3
201501BS70718,3
201501BS70719,3
201501BS70720,3
201501BS70721,3
201501BS70722,3
201501BS70723,3
201501BS70724,3
201501BS70725,3
201501BS70726,3
201501BS70727,3
201501BS70728,3
201501BS70729,3
201501BS70731,3
201501BS70732,3
201501BS70733,3
201501BS70734,3
201501BS70737,3
201501BS70738,3
201501BS70739,3
201501BS70740,3
201501BS70741,3
201501BS70743,3
201501BS70745,3
201501BS70747,3
201501BS70748,3
201501BS70750,3
201501BS70751,3
201501BS70753,3
201501BS70754,3
201501BS70755,3
201501BS70756,2
201501BS70757,3
201501BS70758,3
201501BS70759,3
201501BS70760,3
201501BS70761,3
201501BS70762,3
201501BS70764,3
201501BS70765,3
201501BS70766,3
201501BS70767,3
201501BS70768,3
201501BS70769,3
201501BS70770,3
201501BS70771,3
201501BS70772,2
201501BS70773,3
201501BS70774,3
201501BS70775,3
201501BS70776,3
201501BS70777,3
201501BS70778,3
201501BS70779,3
201501BS70790,3
201501BS70791,3
201501BS70792,3
201501BS70801,3
201501CP00001,3
201501CP00002,3
201501CP00003,3
201501CP00004,3
201501CP00005,3
201501CP00006,3
201501CP00007,2
201501CP00008,3
201501CP00009,3
201501CP00010,3
201501CP00011,3
201501CP00012,3
201501CP00013,3
201501CP00014,3
201501CP00015,3
201501CP00016,3
201501CP00017,2
201501CP00018,3
201501CP00019,2
201501CP00020,3
201501CP00021,3
201501CP00022,3
201501CP00023,3
201501CP00024,3
201501CP00025,3
201501CP00026,2
201501CP00027,3
201501CP00028,3
201501CP00029,3
201501CP00030,3
201501CP00031,3
201501CP00032,3
201501CP00033,3
201501CP00034,3
201501CP00035,2
201501CP00036,3
201501CP00037,3
201501CP00038,3
201501CP00039,3
201501CP00040,2
201501CP00041,2
201501CP00042,3
201501CP00043,3
201501CP00044,3
201501CP00045,3
201501CP00046,3
201501CP00047,3
201501CP00048,2
201501CP00049,3
201501CP00050,3
201501CP00051,3
201501CP00052,3
201501CP00053,3
201501CP00054,3
201501CP00055,3
201501CP00056,3
201501CP00057,3
201501CP00058,3
201501CP00059,3
201501CP00060,2
201501CP00061,3
201501CP00062,3
201501CP00063,3
201501CP00064,3
201501CP00065,3
201501CP00066,3
201501CP00067,3
201501CP00068,3
201501CP00069,3
201501CP00070,3
201501CP00071,3
201501CP00072,3
201501CP00073,3
201501CP00074,3
201501CP00075,2
201501CP00078,3
201501CP00079,3
201501CP00080,3
201501CP00081,3
201501CP00082,3
201501CP00083,3
201501CP00084,3
201501CP00086,3
201501CP00087,3
201501CP00088,2
201501CP00089,3
201501CP00090,3
201501CP00091,3
201501CP00092,2
201501CP00093,3
201501CP00094,3
201501CP00095,3
201501CP00096,3
201501CP00097,3
201501CP00098,3
201501CP00099,3
